دانشكده درس 	دانشكده درس 	گروه آموزشي 	گروه آموزشي 	شماره و گروه درس	نام درس	کل	ع	ظر فيت	ثبت نام شده	تعداد ليست انتظار	جنسيت	نام استاد	زمان و مكان ارائه/ امتحان	توضيحات	امكان اخذ درس توسط ساير مراكز	حذف اضطراري
14	فني و مهندسي	11	برق	1411073_01	اصول سيستمهاي مخابراتي	3	0	25	13	0	مختلط	نوري رحمت آباد حسين<BR>	درس(ت): شنبه 08:00-10:00 مکان: 124 فني و مهندسي<BR> درس(ت): سه شنبه 08:00-09:00 مکان: 124 فني و مهندسي<BR> حل تمرين(ت): سه شنبه 09:00-10:00 مکان: 124 فني و مهندسي<BR> امتحان(1404.10.18) ساعت : 10:30-12:30<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411074_01	تحليل سيستم هاي انرژي الكتريكي1	3	0	32	31	0	مختلط	معمارزاده غلامرضا<BR>	درس(ت): شنبه 10:00-12:00 مکان: 232 فني و مهندسي<BR> درس(ت): دوشنبه 10:00-11:00 مکان: ك345فني<BR> حل تمرين(ت): دوشنبه 11:00-12:00 مکان: ك345فني<BR> امتحان(1404.10.20) ساعت : 10:30-12:30<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411077_01	سيستم هاي ديجيتال1	3	0	25	23	0	مختلط	خليل زاده معصومه<BR>	درس(ت): يك شنبه 10:00-12:00 مکان: 232 فني و مهندسي<BR> درس(ت): سه شنبه 10:00-11:00 مکان: 124 فني و مهندسي<BR> حل تمرين(ت): سه شنبه 11:00-12:00 مکان: 124 فني و مهندسي<BR> امتحان(1404.10.28) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411083_01	سيستم هاي ديجيتال2	3	0	50	50	0	مختلط	احمديان پور رنجبر حسين<BR>	درس(ت): يك شنبه 15:30-17:30 مکان: ك201فني<BR> درس(ت): دوشنبه 17:30-18:30 مکان: ك201فني<BR> حل تمرين(ت): دوشنبه 18:30-19:30 مکان: ك201فني<BR> امتحان(1404.10.28) ساعت : 14:00-16:00<BR> 		-	امكان دارد
14	فني و مهندسي	11	برق	1411084_01	آزمدارهاي الكتريكي واندازه گيري	1	1	11	11	0	مختلط	حميدي راد حامد<BR>	درس(ع): چهارشنبه 08:00-10:00 مکان: آزديجيتال و ريزپردازنده<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411084_02	آزمدارهاي الكتريكي واندازه گيري	1	1	10	10	0	مختلط	حميدي راد حامد<BR>	درس(ع): چهارشنبه 10:00-12:00 مکان: آزديجيتال و ريزپردازنده<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411085_01	آزسيستم هاي ديجيتال1	1	1	13	13	0	مختلط	كهنوجي حميد<BR>	درس(ع): يك شنبه 17:30-19:30 مکان: آزديجيتال و ريزپردازنده<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411085_02	آزسيستم هاي ديجيتال1	1	1	10	10	0	مختلط	كهنوجي حميد<BR>	درس(ع): چهارشنبه 17:30-19:30 مکان: آزديجيتال و ريزپردازنده<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411086_01	آزسيستم هاي ديجيتال2	1	1	15	15	0	مختلط	حميدي راد حامد<BR>	درس(ع): يك شنبه 13:30-15:30 مکان: آزديجيتال و ريزپردازنده<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411086_02	آزسيستم هاي ديجيتال2	1	1	12	12	0	مختلط	حميدي راد حامد<BR>	درس(ع): دوشنبه 13:30-15:30 مکان: آزديجيتال و ريزپردازنده<BR> 		-	امكان ندارد
14	فني و مهندسي	11	برق	1411086_03	آزسيستم هاي ديجيتال2	1	1	14	14	0	مختلط	حميدي راد حامد<BR>	درس(ع): سه شنبه 13:30-15:30 مکان: آزديجيتال و ريزپردازنده<BR> 		-	امكان ندارد
